case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
24592,3,0,0,0,4103,2004,2,5245.00875,0,1,1
24703,1,0,0,0,3667,1970,2,21.99542083333333,0,1,1
24814,1,2,0,0,488,2010,1,2056.5812499999997,0,1,0
24925,3,0,1,0,2724,1998,3,2888.9666666666667,0,1,0
25036,1,3,0,0,1392,2001,3,4155.715833333333,0,0,0
25147,3,0,1,0,2573,1977,2,3810.400833333333,0,1,1
25258,3,0,1,0,3524,1982,1,1437.2858333333334,0,1,0
25369,1,2,0,0,1847,1977,2,16.499791666666667,0,1,1
10,1,3,0,0,107535,1970,4,6651.896250000001,0,1,1
121,1,3,1,0,2227,2007,2,1176.8245833333333,0,1,0
232,1,3,1,0,334,2007,1,1809.245,0,1,0
343,1,0,1,0,224,2008,1,3343.9075,0,1,0
454,1,1,1,0,367,1982,4,4801.497916666666,0,1,0
565,1,3,1,0,306,2003,2,3966.7025,0,0,0
676,3,1,1,0,2317,1995,0,1733.8966666666665,0,1,0
787,1,0,0,0,890,1981,4,2672.3920833333336,0,1,1
898,1,0,1,0,2002,2006,3,2762.309583333333,0,1,0
1009,1,0,0,0,2903,1943,1,4063.334166666667,0,1,0
1121,1,0,1,0,2504,2001,4,2715.190416666667,0,1,0
1232,3,2,1,0,951,1956,1,3081.54875,0,0,0
1343,1,3,1,0,1327,1864,4,2975.642916666666,0,1,0
1454,1,0,1,0,2421,1974,3,3639.0220833333333,0,1,0
1565,3,2,1,0,1019,2005,3,4123.613333333334,0,1,0
1676,1,1,0,0,1048,1985,1,3479.316666666667,0,1,0
1787,1,3,0,0,3323,2005,1,2399.6108333333336,0,1,0
1898,1,0,1,0,509,1997,3,1350.0083333333334,0,1,0
2009,3,3,1,1,2225,1976,2,2749.7170833333334,0,1,0
2120,1,0,1,0,1641,1984,1,1340.0666666666666,0,1,0
2232,1,3,0,0,1144,2001,2,684.22375,0,1,1
2343,3,3,0,0,2334,1971,3,6694.849583333334,0,0,0
2454,5,0,0,0,1415,1913,2,2213.0841666666665,0,1,1
2565,1,1,1,1,2754,1997,3,799.00875,0,1,0
2676,3,3,0,0,1099,2005,4,8534.688333333334,0,0,1
2787,1,3,1,0,960,2012,2,1677.3345833333333,0,1,0
2898,3,3,1,0,2750,1997,4,1618.3933333333334,0,1,0
3009,1,2,1,0,2753,2010,2,5543.868333333333,0,1,1
3120,3,0,1,0,23287,2007,3,3134.7766666666666,0,0,0
3231,1,0,0,0,2140,1997,3,1543.0345833333333,0,1,0
3343,1,0,0,0,4499,2008,2,2567.405416666667,0,1,1
3454,5,2,0,0,2554,2005,1,10308.042083333334,0,1,0
3565,1,0,1,0,1333,1969,2,14.2092875,0,1,0
3676,1,1,0,0,928,1818,3,1273.7895833333334,0,1,0
3787,1,1,1,0,4289,2005,1,811.5458333333332,0,1,0
3898,1,1,1,1,113282,2011,1,6870.541666666667,0,1,0
4009,1,3,1,0,1948,2002,3,5482.6875,0,1,0
4120,1,3,1,0,1933,1839,2,2662.3479166666666,0,1,0
4231,1,3,0,0,2847,2013,1,3245.1341666666667,0,1,0
4342,1,0,1,0,1195,1914,1,4521.630833333334,0,1,0
4454,1,3,1,0,54,1988,3,1958.43875,0,0,0
4565,1,3,0,0,4390,1944,3,3696.6787499999996,0,0,0
4676,1,3,1,0,73909,2004,1,2534.2395833333335,0,1,0
4787,1,3,0,1,545,1855,3,2763.52875,0,1,0
4898,1,1,1,0,2831,1977,3,4183.274166666667,0,1,0
5009,1,0,0,1,1634,1999,3,2136.78125,0,1,0
5120,2,0,1,0,1810,1943,3,555.1133333333333,0,1,0
5231,2,0,1,0,3290,2005,2,14.909141666666665,0,1,0
5342,1,3,1,0,472,2004,4,199.47625000000002,0,1,0
5453,1,0,1,0,4273,1884,1,6209.330000000001,0,1,0
5565,1,3,0,0,2326,1933,4,5155.80875,0,1,1
5676,1,0,0,0,50351,1975,4,22.046270833333335,0,1,1
5787,2,3,1,0,2261,1966,1,2872.225,0,1,0
5898,1,2,1,0,255,2003,2,17.18115,0,1,1
6009,1,3,1,0,373,2009,3,5372.149583333333,0,0,0
6120,2,2,1,1,22,1999,1,1572.9795833333335,0,1,0
6231,1,1,1,1,3102,2001,4,3407.559583333333,0,1,0
6342,1,3,1,0,5147,1997,2,260.6741666666667,0,1,0
6453,1,1,1,0,284,2007,2,1855.8320833333335,0,1,0
6564,3,3,1,0,1926,1801,4,4345.07125,0,1,0
6676,1,2,1,0,2510,1920,1,5221.820833333333,0,1,0
6787,2,1,1,1,1200,2013,1,3409.019166666667,0,1,0
6898,2,0,1,0,337,2004,4,167.82708333333332,0,1,0
7009,3,1,1,0,2880,1925,3,2338.224583333333,0,0,0
7120,1,0,1,0,816,1947,3,4717.173333333333,0,1,0
7231,1,3,1,0,2640,2009,4,1962.3154166666666,0,1,0
7342,1,3,1,0,4190,2006,3,5143.213333333333,0,0,0
7453,1,0,1,0,459,1998,2,2745.6045833333333,0,1,0
7564,1,2,1,0,3351,1993,2,7263.8829166666665,0,1,1
7675,1,0,0,0,3639,1988,2,8.006541666666667,0,1,1
7787,1,3,0,0,373,1992,4,2992.7345833333334,0,1,1
7898,2,0,0,0,201,1982,3,2098.44875,0,1,0
8009,5,0,1,0,5461,1979,2,378.27583333333337,0,1,0
8120,1,3,1,0,3050,1993,2,430.9120833333333,0,1,0
8231,1,0,1,0,28592,1997,4,2572.5125000000003,0,1,0
8342,2,0,1,0,3207,1995,1,2542.9979166666667,0,1,0
8453,1,1,1,0,5820,1998,3,1332.7829166666668,0,1,0
8564,3,0,1,1,3229,1999,3,3891.0158333333334,0,1,0
8675,1,0,1,0,2708,2010,2,4580.07,0,1,0
8786,1,1,0,1,2779,2002,1,5105.625,0,1,0
8898,1,2,1,0,977,1986,2,4412.439166666666,0,1,1
9009,2,0,1,1,44069,2006,4,5597.937083333333,0,1,0
9120,2,0,1,0,1566,1931,3,5270.78375,0,1,0
9231,2,3,0,1,4439,1962,3,4723.59875,0,1,0
9342,1,3,0,0,1929,2001,1,4183.3966666666665,0,1,0
9453,1,0,0,0,654,1954,2,5340.58,0,1,1
9564,1,2,1,1,557,2010,2,13.076458333333333,0,1,1
9675,1,0,0,0,421,2005,1,3700.4058333333337,0,1,0
9786,2,2,1,0,600,2009,2,5751.333333333333,0,1,1
9897,5,3,1,0,1551,1989,4,26.2775,0,1,0
10009,2,1,1,0,2540,2003,1,1227.8820833333332,0,1,0
10120,1,0,1,0,961,2007,4,5153.699583333333,0,1,0
10231,1,1,1,0,3726,1884,2,4632.494166666666,0,0,0
10342,3,3,1,0,4045,1987,4,4287.899583333333,0,0,0
10453,1,3,1,0,128431,1991,4,5368.78125,0,1,0
10564,0,3,1,0,2180,1992,1,4734.891666666666,0,1,0
10675,1,0,0,0,872,1991,2,7486.482499999999,0,1,1
10786,2,3,0,0,2689,1998,3,658.9558333333333,0,1,0
10897,2,3,0,1,2752,2006,3,896.3158333333334,0,1,0
11008,1,3,0,0,1375,1976,3,3927.1924999999997,0,0,0
11120,2,3,1,0,7320,1868,2,3716.9612500000003,0,1,0
11231,1,1,1,0,3282,1979,4,3101.712916666667,0,1,0
11342,1,0,1,0,1313,2002,4,4144.57125,0,1,0
11453,1,0,1,0,3128,1999,4,1328.7775,0,1,0
11564,1,3,0,0,4757,1981,1,6974.005416666667,0,1,0
11675,1,2,1,0,2122,1859,1,5433.53,0,1,0
11786,1,2,1,0,2524,1946,4,3505.43875,0,1,1
11897,2,1,1,0,766,1950,1,3711.6270833333333,0,1,0
12008,1,2,0,0,1190,2003,3,3436.0308333333337,0,1,0
12119,3,2,0,0,2741,2005,2,6.599195833333333,0,1,1
12231,1,3,0,0,3233,2012,3,2610.039166666667,0,0,0
12342,1,3,1,0,2696,1966,0,4860.090833333333,0,0,0
12453,1,3,1,0,3980,1869,3,2240.3070833333336,0,1,0
12564,1,1,0,1,111,2008,2,4824.042916666666,0,1,1
12675,3,3,0,0,5396,1963,3,4224.979583333333,0,0,0
12786,1,0,0,0,2778,2000,2,6098.936666666667,0,1,1
12897,2,0,0,1,789,1925,1,886.7841666666667,0,1,0
13008,1,3,1,0,1515,2001,1,11221.736666666666,0,0,0
13119,3,0,1,0,26891,1917,2,2171.4391666666666,0,1,1
13230,2,0,0,0,1867,1933,2,99.61416666666666,0,1,0
13342,2,3,1,0,3395,2008,3,3067.664166666667,0,1,0
13453,1,0,1,0,879,1996,1,5908.182916666668,0,1,0
13564,3,1,1,1,2518,2010,3,9147.0675,0,1,0
13675,2,1,0,0,2468,1991,4,8141.833333333333,0,1,0
13786,2,0,0,0,787,1913,2,6607.071666666667,0,0,1
13897,5,0,0,0,1004,1960,1,5658.0216666666665,0,1,0
14008,1,0,1,0,717,1998,2,4182.484583333334,0,1,0
14119,3,3,0,0,20,1997,1,5788.571666666667,0,0,0
14230,1,2,1,0,503,1998,1,4935.775416666666,0,1,0
14341,1,2,1,0,584,1968,4,28.67194166666667,0,1,1
14453,1,3,0,0,2770,1997,3,4667.852083333333,0,0,0
14564,3,2,0,0,284,1982,4,33.690916666666666,0,1,1
14675,1,3,1,0,1935,1989,2,4703.38875,0,1,0
14786,1,1,1,0,2098,2010,3,324.75208333333336,0,1,0
14897,1,0,1,0,3223,1997,3,296.39458333333334,0,1,0
15008,2,0,0,0,2771,1975,4,4199.4425,0,1,0
15119,3,2,0,0,2147,1986,4,3641.2724999999996,0,1,1
15230,1,0,0,0,2543,2014,4,3901.8404166666664,0,1,1
15341,3,3,0,0,155999,2003,4,4939.816666666667,0,1,1
15452,1,3,0,0,3592,1950,4,4771.362083333333,0,1,1
15564,2,3,1,0,5504,1996,3,2463.5491666666667,0,1,0
15675,2,2,1,0,2216,2000,2,1096.9158333333332,0,1,1
15786,4,1,1,0,2871,2009,3,2358.6058333333335,0,1,0
15897,0,0,0,1,2509,2003,4,2161.9183333333335,0,1,1
16008,3,3,0,0,1720,1995,2,2588.0091666666667,0,1,1
16119,2,1,1,0,1760,1997,3,2629.50125,0,1,0
16230,2,3,0,0,-25,1980,2,1643.8745833333332,0,1,0
16341,2,1,1,1,1025,2005,2,3357.5404166666667,0,1,0
16452,2,1,0,0,109,2008,3,1553.8258333333333,0,1,0
16563,3,3,1,0,2901,1971,2,3998.9420833333334,0,1,0
16675,1,2,1,0,4449,1963,2,910.2679166666667,0,1,1
16786,1,3,1,0,4280,2004,2,2547.7945833333333,0,1,0
16897,2,1,0,1,2223,2013,4,5006.197916666667,0,1,0
17008,1,0,1,0,1667,2007,3,8622.55125,0,0,0
17119,2,3,1,0,5260,1994,4,3820.3974999999996,0,1,0
17211,1,3,0,0,365,1896,2,3175.61875,0,1,1
17222,2,2,0,0,1243,1998,4,2727.4533333333334,0,1,1
17233,1,3,1,0,1721,2009,3,2613.7716666666665,0,1,0
17244,1,0,1,0,517,1949,3,902.1429166666667,0,1,0
17255,1,0,0,0,3266,2007,1,4274.931250000001,0,1,0
17267,1,0,1,0,955,1998,4,2350.9504166666666,0,1,0
17278,1,0,0,0,1310,2007,3,5890.51125,0,1,0
17289,1,3,0,1,2854,1843,2,5776.757083333334,0,1,1
17300,1,0,1,0,230,1925,1,5984.527083333333,0,1,0
17311,1,3,0,0,2374,2006,1,1490.015,0,1,0
17322,1,3,0,0,4241,1998,2,144.03333333333333,0,1,1
17333,5,2,1,0,69469,1974,3,1769.5520833333333,0,1,0
17344,1,0,0,0,5425,1855,2,1900.5958333333335,0,1,1
17355,3,3,1,0,2733,1960,4,4519.09625,0,1,0
17366,1,3,1,0,3664,1931,4,2622.9308333333333,0,1,0
17378,1,0,0,1,1546,1850,3,6791.2716666666665,0,1,0
17389,1,3,1,0,2486,1906,3,3521.7450000000003,0,1,0
17400,3,3,1,0,1233,2001,3,5880.404166666667,0,0,0
17411,1,2,0,0,1681,1999,4,3550.7645833333336,0,1,1
17422,0,3,0,0,1608,2009,4,4.951666666666667,0,1,1
17433,1,3,0,0,4349,1998,4,6434.536666666667,0,0,1
17444,1,0,1,0,1764,1961,3,2712.8579166666664,0,1,0
17455,1,0,1,1,4440,1998,3,875.0704166666666,0,1,0
17466,1,2,0,0,769,1951,3,2390.4566666666665,0,1,0
17477,1,3,0,0,2443,1958,1,4154.759166666667,0,1,0
17489,1,2,0,0,3725,2009,1,5809.367916666666,0,1,0
17500,1,0,0,0,2061,1995,4,872.99625,0,1,1
17511,1,3,1,0,216,1909,1,2763.7237499999997,0,1,0
17522,2,0,1,0,3489,2007,3,3685.316666666667,0,1,0
17533,3,0,0,1,433,1912,4,5125.76875,0,1,1
17544,1,0,1,0,1932,1989,3,6.886341666666667,0,1,0
17555,3,3,1,0,572,1847,2,533.3341666666666,0,1,0
17566,2,3,1,0,306,1975,3,4307.935,0,0,0
17577,2,0,0,0,623,2007,2,1059.1495833333333,0,1,0
17588,4,0,0,0,2288,2011,4,3432.7333333333336,0,1,1
17600,1,3,0,1,3370,2007,4,1781.7220833333333,0,1,1
17611,1,3,0,0,875,1983,1,4088.3308333333334,0,1,0
17622,3,0,0,0,2586,1997,4,83.63583333333334,0,1,1
17633,1,0,0,0,661,2006,1,3537.4854166666664,0,1,0
17644,1,0,0,0,2337,1996,3,1117.2375,0,1,0
17655,1,0,0,0,1672,1998,3,15.304583333333333,0,1,0
17666,1,3,1,0,717,1948,3,4848.769583333334,0,1,0
17677,2,0,1,0,1017,1975,3,1336.9204166666666,0,1,0
17688,1,2,0,0,1624,2000,4,8545.19125,0,1,1
17699,1,0,0,1,3891,1931,3,1910.8695833333334,0,1,0
17711,1,3,1,1,2009,2005,4,2905.8770833333333,0,1,0
17722,1,3,1,0,3268,2012,1,4223.800416666667,0,1,0
17733,1,3,0,0,1312,1998,3,3901.8529166666667,0,1,0
17744,3,0,0,0,229,2005,4,10.33375,0,1,1
17755,1,0,1,0,2597,1945,4,6460.124583333333,0,1,0
17766,1,0,1,0,2114,1977,4,24.8437,0,1,0
17777,3,3,1,0,48369,2007,4,2221.0016666666666,0,1,0
17788,1,0,1,0,2609,1991,2,1447.4437500000001,0,1,0
17799,3,3,1,0,4265,1997,3,2890.625,0,1,0
17810,1,0,1,0,533,1978,4,1252.7566666666667,0,1,0
17822,1,3,1,0,4574,2006,2,2800.1891666666666,0,1,0
17833,1,3,1,1,954,1988,4,2336.06375,0,1,0
17844,2,0,1,0,3831,2010,4,751.4733333333334,0,1,0
17855,1,0,0,0,1778,1983,3,4202.1050000000005,0,1,0
17866,1,2,0,0,29453,2005,0,5566.107499999999,0,1,1
17877,1,2,0,0,652,1913,2,1040.3625,0,0,1
17888,1,2,1,0,2170,1998,1,4825.045416666667,0,1,0
17899,3,2,1,0,3550,2012,4,11.1724125,0,1,0
17910,5,0,0,0,1761,1995,1,27.8088875,0,1,0
17921,1,2,0,0,805,1898,2,4.910416666666666,0,1,1
17933,3,1,1,1,1615,1991,3,4693.9591666666665,0,1,0
17944,5,2,1,0,4153,2010,0,5635.434166666667,0,1,0
17955,1,2,0,1,743,1999,3,5510.027083333333,0,1,0
17966,1,0,1,0,3827,1995,3,2724.002916666667,0,1,0
17977,1,3,1,0,2345,1966,3,4635.611666666667,0,1,0
17988,2,0,1,0,6188,1993,3,3951.269166666667,0,1,0
17999,3,0,1,0,629,2004,4,9676.13875,0,1,0
18010,1,0,1,0,5576,2009,4,5218.617916666667,0,1,0
18021,2,1,1,0,5075,1981,2,1501.1891666666668,0,1,0
18032,1,3,0,0,2234,1920,4,9945.471666666666,0,0,1
18044,1,0,1,0,2698,1970,4,1423.6795833333333,0,1,0
18055,1,1,1,0,1485,1993,2,3803.7658333333334,0,1,0
18066,2,0,0,0,2425,2008,3,3468.3037499999996,0,1,0
18077,5,0,1,0,2969,1923,4,2607.7791666666667,0,1,1
18088,2,0,1,0,1738,2011,1,1219.2025,0,1,0
18099,1,3,1,0,4614,1911,2,3529.8591666666666,0,0,0
18110,1,3,1,0,1222,1975,1,2267.6925,0,1,0
18121,2,1,0,0,186,1991,4,689.6441666666666,0,1,0
18132,3,0,0,1,2747,1994,2,1763.415,0,1,1
18143,1,0,1,0,2114,2012,2,0.65715,0,1,0
18155,1,2,1,0,4550,1968,1,4352.387083333333,0,1,0
18166,2,0,0,0,1083,1999,3,2879.7483333333334,0,1,0
18177,1,3,1,0,822,1838,2,2779.6337500000004,0,0,0
18188,3,0,1,0,25805,2002,3,1063.0191666666667,0,1,0
18199,1,3,0,0,1741,1950,2,861.9733333333334,0,1,1
18210,1,0,0,0,3438,2013,0,4055.2137500000003,0,1,1
18221,1,3,0,0,1501,1983,1,5015.488333333334,0,1,0
18232,1,3,1,0,2284,2013,3,2150.4266666666667,0,1,0
18243,1,0,0,0,2384,2007,4,4006.0870833333333,0,0,1
18254,1,3,0,1,1031,2014,2,9185.340416666668,0,0,1
18266,1,3,1,0,3213,1924,1,969.6754166666666,0,1,0
18277,1,3,0,0,1894,1906,2,4455.743333333333,0,1,1
18288,1,0,0,0,2280,2011,1,1544.5541666666668,0,1,0
18299,1,0,1,0,1610,1962,1,4097.138333333333,0,1,0
18310,1,0,1,0,1766,1997,3,153.47625,0,1,0
18321,1,0,1,0,2269,1997,2,8194.532083333334,0,0,0
18332,1,0,0,1,114,1851,4,2884.534166666667,0,1,1
18343,5,1,0,0,819,1994,0,1401.91125,0,1,1
18354,3,1,1,0,28418,1969,2,4570.8575,0,1,0
18365,1,2,0,0,1983,2010,4,1277.8466666666666,0,1,1
18377,1,0,1,0,2927,1977,3,4156.408333333334,0,1,0
18388,1,0,0,0,2553,2004,1,2864.632916666667,0,1,0
18399,1,1,1,0,82716,1993,4,4655.194166666667,0,0,0
18410,5,0,1,0,1837,1898,3,9.465683333333333,0,1,0
18421,1,0,1,0,308,1995,4,3588.9070833333335,0,1,0
18432,3,2,0,1,2561,2014,2,1823.1125,0,1,1
18443,1,1,1,0,70113,1897,2,2812.1991666666668,0,1,0
18454,1,3,1,0,5483,2003,4,2039.3095833333334,0,1,0
18465,2,3,1,0,81379,1999,3,2052.3595833333334,0,1,0
18476,1,0,1,0,1506,1998,2,4702.2387499999995,0,1,0
18488,1,3,1,0,190,2001,1,6013.02,0,1,0
18499,3,0,1,1,2701,2010,3,3896.1091666666666,0,1,0
18510,1,3,0,0,3062,2001,2,8281.36,0,0,1
18521,1,2,1,0,71,2005,3,769.8445833333334,0,1,0
18532,1,1,0,0,3166,1995,2,4056.38125,0,0,1
18543,1,2,1,0,35961,1865,2,6371.374583333333,0,1,1
18554,3,3,1,0,94411,1977,2,2086.1316666666667,0,1,0
18565,1,0,0,0,2594,1849,3,3562.3266666666664,0,1,0
18576,1,3,1,0,2240,2006,4,813.5620833333334,0,1,0
18587,1,0,0,1,-11,2011,2,1354.4225,0,1,1
18599,1,0,1,0,2090,1872,4,8227.174166666666,0,0,0
18610,1,0,1,0,149,1948,3,1910.4304166666668,0,1,0
18621,1,3,1,0,855,2009,2,2229.9795833333333,0,1,0
18632,1,3,1,0,566,1998,1,5930.239166666666,0,1,0
18643,1,1,0,0,3970,2013,4,3108.4666666666667,0,1,1
18654,1,0,1,0,720,2001,4,5179.88875,0,1,0
18665,2,0,0,0,2948,1967,4,13.487499999999999,0,1,0
18676,1,1,1,0,3962,2011,2,3051.0533333333333,0,1,0
18687,0,3,1,0,4857,2001,2,4247.877083333334,0,1,0
18698,3,1,0,0,1200,1996,1,4494.812916666667,0,1,0
18710,3,3,1,0,2579,2007,4,2861.7995833333334,0,1,0
18721,5,2,0,0,1864,1911,0,5749.385416666667,0,1,1
18732,2,0,0,0,202,1986,4,1494.5287500000002,0,1,0
18743,1,0,1,0,51,2003,4,915.695,0,1,0
18754,2,0,0,1,3628,2000,2,3326.6716666666666,0,1,1
18765,1,0,1,0,1872,1926,4,4133.375416666667,0,1,0
18776,3,0,1,0,869,2001,4,2670.17625,0,1,0
18787,3,2,1,0,693,1999,4,5146.654583333334,0,1,0
18798,2,1,1,0,1525,1978,4,470.30916666666667,0,1,0
18809,1,3,1,0,1584,1984,1,1885.8858333333335,0,1,0
18821,1,3,0,0,448,2006,2,4701.292916666666,0,1,1
18832,2,0,1,0,714,1873,4,4746.999583333333,0,1,0
18843,1,0,1,1,1000,1848,4,4300.01875,0,1,0
18854,1,3,0,0,1983,2002,3,1377.0733333333335,0,1,0
18865,1,3,0,0,525,2001,4,4746.3029166666665,0,0,1
18876,1,0,1,0,997,2001,1,8236.50625,0,1,0
18887,3,2,0,0,2290,2015,2,12.221466666666666,0,1,1
18898,3,0,1,0,153,1972,1,8.602483333333334,0,1,0
18909,1,3,0,0,1313,1889,1,6549.990833333333,0,1,0
18920,1,1,1,0,3659,1876,3,3408.6008333333334,0,1,0
18932,1,0,1,1,4713,1968,4,4207.07875,0,1,0
18943,1,3,1,0,979,1852,2,2480.5741666666668,0,1,0
18954,2,2,0,0,1010,2007,4,1139.4033333333334,0,1,1
18965,1,0,1,1,2105,2000,4,1102.48625,0,1,0
18976,3,2,0,1,23483,2000,3,2736.7083333333335,0,1,0
18987,2,1,0,0,4651,1938,3,515.3275,0,1,0
18998,3,3,0,0,1178,1859,2,12.383116666666666,0,1,1
19009,1,3,1,1,690,2013,2,3307.5,0,1,0
19020,1,3,0,0,2549,1993,3,4541.239583333333,0,0,0
19031,1,0,1,0,1363,1982,3,2341.1720833333334,0,1,0
19043,1,0,0,0,2517,2005,3,7874.692916666667,0,0,0
19054,1,0,1,0,3094,1986,3,1777.4083333333335,0,1,0
19065,5,0,0,1,2378,2005,4,3926.27125,0,1,1
19076,3,0,1,0,3817,2010,2,839.2375000000001,0,1,1
19087,2,3,1,0,4247,2005,4,778.3179166666667,0,1,0
19098,1,1,1,0,2109,2002,2,1136.68875,0,0,0
